symbol,time,signal,zone,setup,entry,sl,tp1,tp2,rr,lot,equity,risk$,outcome,pnl
XAU_USD,2026-03-09 15:00,BUY,New York Kill Zone,Sweep + OB,5109.27,5098.12,5140.53,5155.51,2.8,0.01×2,1000.0,10.0,loss,-11.65
XAU_USD,2026-04-17 18:45,BUY,London Close,Sweep + FVG,4805.82,4802.68,4811.77,4819.2,1.89,0.01×2,988.35,9.88,loss,-10.92
XAU_USD,2026-04-20 14:15,BUY,New York Kill Zone,Sweep + FVG,4802.51,4802.22,4805.56,4813.93,10.52,0.17×2,977.43,9.77,tp2,228.99
EUR_USD,2026-01-22 09:15,SELL,London Kill Zone,Sweep + OB,1.169,1.17043,1.16724,1.1667,1.23,0.03×2,1000.0,10.0,loss,-9.48
GBP_USD,2025-11-14 17:15,SELL,London Close,Sweep + OB,1.31476,1.31824,1.31075,1.3084,1.15,0.01×2,1000.0,10.0,loss,-7.36
GBP_USD,2025-11-18 15:45,SELL,New York Kill Zone,Sweep + FVG + OB,1.31558,1.31614,1.31474,1.31387,1.5,0.09×2,992.64,9.93,loss,-12.92
GBP_USD,2026-01-21 16:30,SELL,New York Kill Zone,Sweep + FVG,1.3423,1.34322,1.34138,1.34052,1.0,0.05×2,979.72,9.8,tp2,11.5
GBP_USD,2026-02-24 14:00,SELL,New York Kill Zone,Sweep + FVG,1.34842,1.34849,1.34735,1.34683,15.29,0.7×2,991.22,9.91,tp2,158.2
USD_JPY,2026-01-20 09:00,BUY,London Kill Zone,Sweep + OB,158.044,158.02875,158.279,158.4075,15.41,0.52×2,1000.0,10.0,loss,-26.23
USD_JPY,2026-02-26 11:30,SELL,London Kill Zone,Sweep + OB,156.014,156.23529,155.754,155.63543,1.17,0.03×2,973.77,9.74,tp2,11.32
